# chipvoice register log v1
# name: song-golden
# chip: c64
# clock: 985248
# cycles: 3940992
# source: packages/chipvoice/test/golden-c64.mjs
# notes: 152 bpm, 4 s, through the driver
0 D418 0F
0 D404 40
0 D404 40
4 D417 00
8 D415 00
12 D416 00
48 D40B 40
48 D40B 10
96 D412 40
96 D412 10
98525 D400 ED
98529 D401 15
98533 D402 00
98537 D403 0C
98541 D405 00
98545 D406 F1
98549 D404 41
98573 D407 A9
98577 D408 03
98581 D409 00
98585 D40A 08
98589 D40C 00
98593 D40D D1
98597 D40B 11
98621 D40E 51
98625 D40F 07
98629 D410 00
98633 D411 08
98637 D413 00
98641 D414 F1
98645 D412 11
115042 D40E FA
115046 D40F 05
131366 D406 E1
131462 D40E E2
131466 D40F 04
131470 D414 D1
147787 D406 D1
147883 D40E FD
147887 D40F 03
147891 D414 A1
164208 D406 C1
164304 D40E 42
164308 D414 61
180725 D412 10
197050 D406 B1
197146 D40E A2
197150 D40F 0E
197154 D410 00
197158 D411 0E
197162 D413 00
197166 D414 91
197170 D412 41
213566 D40E 67
213570 D40F 11
213574 D414 81
229891 D406 A1
229987 D40E ED
229991 D40F 15
229995 D414 71
246408 D40E A2
246412 D40F 0E
262829 D412 40
279154 D406 91
279202 D40B 10
293030 D407 A9
293034 D408 03
293038 D409 00
293042 D40A 08
293046 D40C 00
293050 D40D D1
293054 D40B 11
293078 D40E FF
293082 D40F FF
293086 D410 00
293090 D411 08
293094 D413 00
293098 D414 B1
293102 D412 81
309498 D414 61
311995 D400 16
311999 D401 16
325919 D414 21
328416 D400 28
328420 D406 81
342340 D412 80
344837 D400 16
358761 D40E A2
358765 D40F 0E
358769 D410 00
358773 D411 0E
358777 D413 00
358781 D414 91
358785 D412 41
361258 D400 ED
361262 D401 15
375182 D40E 67
375186 D40F 11
375190 D414 81
377678 D400 C4
391602 D40E ED
391606 D40F 15
391610 D414 71
394099 D400 B3
408023 D40E A2
408027 D40F 0E
410520 D400 C4
424444 D40E 67
424448 D40F 11
424452 D414 61
426941 D400 ED
440865 D40E ED
440869 D40F 15
443362 D400 16
443366 D401 16
457286 D412 40
459782 D400 28
473658 D40B 10
476203 D404 40
487438 D400 13
487442 D401 1A
487446 D402 00
487450 D403 0C
487454 D405 00
487458 D406 F1
487462 D404 41
487486 D407 A9
487490 D408 03
487494 D409 00
487498 D40A 08
487502 D40C 00
487506 D40D D1
487510 D40B 11
487534 D40E 4C
487538 D40F 68
487542 D410 00
487546 D411 08
487550 D413 00
487554 D414 F1
487558 D412 41
503955 D414 C1
503959 D412 81
520280 D406 E1
520376 D414 91
536701 D406 D1
536797 D414 61
553122 D406 C1
553218 D414 31
569638 D412 80
585963 D406 B1
586059 D40E A2
586063 D40F 0E
586067 D410 00
586071 D411 0E
586075 D413 00
586079 D414 91
586083 D412 41
602480 D40E 67
602484 D40F 11
602488 D414 81
618805 D406 A1
618901 D40E ED
618905 D40F 15
618909 D414 71
635322 D40E A2
635326 D40F 0E
651742 D412 40
668067 D404 40
668115 D40B 10
681895 D400 45
681899 D401 1D
681903 D402 00
681907 D403 0C
681911 D405 00
681915 D406 F1
681919 D404 41
681943 D407 A9
681947 D408 03
681951 D409 00
681955 D40A 08
681959 D40C 00
681963 D40D D1
681967 D40B 11
681991 D40E FF
681995 D40F FF
681999 D410 00
682003 D411 08
682007 D413 00
682011 D414 B1
682015 D412 81
698412 D414 61
714737 D406 E1
714833 D414 21
731158 D406 D1
731254 D412 80
747579 D406 C1
747675 D40E A2
747679 D40F 0E
747683 D410 00
747687 D411 0E
747691 D413 00
747695 D414 91
747699 D412 41
764095 D40E 67
764099 D40F 11
764103 D414 81
780420 D406 B1
780516 D40E ED
780520 D40F 15
780524 D414 71
796937 D40E A2
796941 D40F 0E
813262 D406 A1
813358 D40E 67
813362 D40F 11
813366 D414 61
829779 D40E ED
829783 D40F 15
846199 D412 40
862524 D406 91
862572 D40B 10
876400 D407 A9
876404 D408 03
876408 D409 00
876412 D40A 08
876416 D40C 00
876420 D40D D1
876424 D40B 11
876448 D40E 51
876452 D40F 07
876456 D410 00
876460 D411 08
876464 D413 00
876468 D414 F1
876472 D412 11
892869 D40E FA
892873 D40F 05
895366 D400 7C
909290 D40E E2
909294 D40F 04
909298 D414 D1
911787 D400 93
911791 D406 81
925711 D40E FD
925715 D40F 03
925719 D414 A1
928207 D400 7C
942131 D40E 42
942135 D414 61
944628 D400 45
958552 D412 10
961049 D400 0E
974973 D40E A2
974977 D40F 0E
974981 D410 00
974985 D411 0E
974989 D413 00
974993 D414 91
974997 D412 41
977470 D400 F7
977474 D401 1C
991394 D40E 67
991398 D40F 11
991402 D414 81
993891 D400 0E
993895 D401 1D
1007815 D40E ED
1007819 D40F 15
1007823 D414 71
1010311 D400 45
1024235 D40E A2
1024239 D40F 0E
1026732 D400 7C
1040656 D412 40
1043153 D400 93
1057029 D40B 10
1059574 D404 40
1070809 D400 DA
1070813 D401 20
1070817 D402 00
1070821 D403 0C
1070825 D405 00
1070829 D406 F1
1070833 D404 41
1070857 D407 A9
1070861 D408 03
1070865 D409 00
1070869 D40A 08
1070873 D40C 00
1070877 D40D D1
1070881 D40B 11
1070905 D40E FF
1070909 D40F FF
1070913 D410 00
1070917 D411 08
1070921 D413 00
1070925 D414 B1
1070929 D412 81
1087326 D414 61
1103651 D406 E1
1103747 D414 21
1120071 D406 D1
1120167 D412 80
1136492 D406 C1
1168133 D40E 51
1168137 D40F 07
1168141 D410 00
1168145 D411 08
1168149 D413 00
1168153 D414 F1
1168157 D412 11
1169334 D406 B1
1184554 D40E FA
1184558 D40F 05
1200975 D40E E2
1200979 D40F 04
1200983 D414 D1
1202175 D406 A1
1217396 D40E FD
1217400 D40F 03
1217404 D414 A1
1233817 D40E 42
1233821 D414 61
1250237 D412 10
1251438 D404 40
1251486 D40B 10
1265266 D400 CE
1265270 D401 22
1265274 D402 00
1265278 D403 0C
1265282 D405 00
1265286 D406 F1
1265290 D404 41
1265314 D407 A9
1265318 D408 03
1265322 D409 00
1265326 D40A 08
1265330 D40C 00
1265334 D40D D1
1265338 D40B 11
1265362 D40E 4C
1265366 D40F 68
1265370 D410 00
1265374 D411 08
1265378 D413 00
1265382 D414 F1
1265386 D412 41
1281783 D414 C1
1281787 D412 81
1298107 D406 E1
1298203 D414 91
1314528 D406 D1
1314624 D414 61
1330949 D406 C1
1331045 D414 31
1347466 D412 80
1363791 D406 B1
1363887 D40E A2
1363891 D40F 0E
1363895 D410 00
1363899 D411 0E
1363903 D413 00
1363907 D414 91
1363911 D412 41
1380307 D40E 67
1380311 D40F 11
1380315 D414 81
1396632 D406 A1
1396728 D40E ED
1396732 D40F 15
1396736 D414 71
1413149 D40E A2
1413153 D40F 0E
1429570 D412 40
1445895 D406 91
1445943 D40B 10
1459771 D407 42
1459775 D408 03
1459779 D409 00
1459783 D40A 08
1459787 D40C 00
1459791 D40D D1
1459795 D40B 11
1459819 D40E FF
1459823 D40F FF
1459827 D410 00
1459831 D411 08
1459835 D413 00
1459839 D414 B1
1459843 D412 81
1476239 D414 61
1478736 D400 10
1478740 D401 23
1492660 D414 21
1495157 D400 2B
1495161 D406 81
1509081 D412 80
1511578 D400 10
1525502 D40E A2
1525506 D40F 0E
1525510 D410 00
1525514 D411 0E
1525518 D413 00
1525522 D414 91
1525526 D412 41
1527999 D400 CE
1528003 D401 22
1541923 D40E 67
1541927 D40F 11
1541931 D414 81
1544419 D400 8D
1558343 D40E ED
1558347 D40F 15
1558351 D414 71
1560840 D400 72
1574764 D40E A2
1574768 D40F 0E
1577261 D400 8D
1591185 D40E 67
1591189 D40F 11
1591193 D414 61
1593682 D400 CE
1607606 D40E ED
1607610 D40F 15
1610103 D400 10
1610107 D401 23
1624027 D412 40
1626523 D400 2B
1640399 D40B 10
1642944 D404 40
1654180 D400 ED
1654184 D401 15
1654188 D402 00
1654192 D403 0C
1654196 D405 00
1654200 D406 F1
1654204 D404 41
1654228 D407 A9
1654232 D408 03
1654236 D409 00
1654240 D40A 08
1654244 D40C 00
1654248 D40D D1
1654252 D40B 11
1654276 D40E 51
1654280 D40F 07
1654284 D410 00
1654288 D411 08
1654292 D413 00
1654296 D414 F1
1654300 D412 11
1670696 D40E FA
1670700 D40F 05
1687021 D406 E1
1687117 D40E E2
1687121 D40F 04
1687125 D414 D1
1703442 D406 D1
1703538 D40E FD
1703542 D40F 03
1703546 D414 A1
1719863 D406 C1
1719959 D40E 42
1719963 D414 61
1736380 D412 10
1752704 D406 B1
1752800 D40E A2
1752804 D40F 0E
1752808 D410 00
1752812 D411 0E
1752816 D413 00
1752820 D414 91
1752824 D412 41
1769221 D40E 67
1769225 D40F 11
1769229 D414 81
1785546 D406 A1
1785642 D40E ED
1785646 D40F 15
1785650 D414 71
1802063 D40E A2
1802067 D40F 0E
1818484 D412 40
1834808 D406 91
1834856 D40B 10
1848684 D407 A9
1848688 D408 03
1848692 D409 00
1848696 D40A 08
1848700 D40C 00
1848704 D40D D1
1848708 D40B 11
1848732 D40E FF
1848736 D40F FF
1848740 D410 00
1848744 D411 08
1848748 D413 00
1848752 D414 B1
1848756 D412 81
1865153 D414 61
1867650 D400 16
1867654 D401 16
1881574 D414 21
1884071 D400 28
1884075 D406 81
1897995 D412 80
1900492 D400 16
1914416 D40E A2
1914420 D40F 0E
1914424 D410 00
1914428 D411 0E
1914432 D413 00
1914436 D414 91
1914440 D412 41
1916912 D400 ED
1916916 D401 15
1930836 D40E 67
1930840 D40F 11
1930844 D414 81
1933333 D400 C4
1947257 D40E ED
1947261 D40F 15
1947265 D414 71
1949754 D400 B3
1963678 D40E A2
1963682 D40F 0E
1966175 D400 C4
1980099 D40E 67
1980103 D40F 11
1980107 D414 61
1982596 D400 ED
1996520 D40E ED
1996524 D40F 15
1999016 D400 16
1999020 D401 16
2012940 D412 40
2015437 D400 28
2029313 D40B 10
2031858 D404 40
2043093 D400 13
2043097 D401 1A
2043101 D402 00
2043105 D403 0C
2043109 D405 00
2043113 D406 F1
2043117 D404 41
2043141 D407 A9
2043145 D408 03
2043149 D409 00
2043153 D40A 08
2043157 D40C 00
2043161 D40D D1
2043165 D40B 11
2043189 D40E 4C
2043193 D40F 68
2043197 D410 00
2043201 D411 08
2043205 D413 00
2043209 D414 F1
2043213 D412 41
2059610 D414 C1
2059614 D412 81
2075935 D406 E1
2076031 D414 91
2092356 D406 D1
2092452 D414 61
2108776 D406 C1
2108872 D414 31
2125293 D412 80
2141618 D406 B1
2141714 D40E A2
2141718 D40F 0E
2141722 D410 00
2141726 D411 0E
2141730 D413 00
2141734 D414 91
2141738 D412 41
2158135 D40E 67
2158139 D40F 11
2158143 D414 81
2174460 D406 A1
2174556 D40E ED
2174560 D40F 15
2174564 D414 71
2190976 D40E A2
2190980 D40F 0E
2207397 D412 40
2223722 D404 40
2223770 D40B 10
2237550 D400 45
2237554 D401 1D
2237558 D402 00
2237562 D403 0C
2237566 D405 00
2237570 D406 F1
2237574 D404 41
2237598 D407 A9
2237602 D408 03
2237606 D409 00
2237610 D40A 08
2237614 D40C 00
2237618 D40D D1
2237622 D40B 11
2237646 D40E FF
2237650 D40F FF
2237654 D410 00
2237658 D411 08
2237662 D413 00
2237666 D414 B1
2237670 D412 81
2254067 D414 61
2270392 D406 E1
2270488 D414 21
2286812 D406 D1
2286908 D412 80
2303233 D406 C1
2303329 D40E A2
2303333 D40F 0E
2303337 D410 00
2303341 D411 0E
2303345 D413 00
2303349 D414 91
2303353 D412 41
2319750 D40E 67
2319754 D40F 11
2319758 D414 81
2336075 D406 B1
2336171 D40E ED
2336175 D40F 15
2336179 D414 71
2352592 D40E A2
2352596 D40F 0E
2368916 D406 A1
2369012 D40E 67
2369016 D40F 11
2369020 D414 61
2385433 D40E ED
2385437 D40F 15
2401854 D412 40
2418179 D406 91
2418227 D40B 10
2432055 D407 A9
2432059 D408 03
2432063 D409 00
2432067 D40A 08
2432071 D40C 00
2432075 D40D D1
2432079 D40B 11
2432103 D40E 51
2432107 D40F 07
2432111 D410 00
2432115 D411 08
2432119 D413 00
2432123 D414 F1
2432127 D412 11
2448524 D40E FA
2448528 D40F 05
2451020 D400 7C
2464945 D40E E2
2464949 D40F 04
2464953 D414 D1
2467441 D400 93
2467445 D406 81
2481365 D40E FD
2481369 D40F 03
2481373 D414 A1
2483862 D400 7C
2497786 D40E 42
2497790 D414 61
2500283 D400 45
2514207 D412 10
2516704 D400 0E
2530628 D40E A2
2530632 D40F 0E
2530636 D410 00
2530640 D411 0E
2530644 D413 00
2530648 D414 91
2530652 D412 41
2533124 D400 F7
2533128 D401 1C
2547049 D40E 67
2547053 D40F 11
2547057 D414 81
2549545 D400 0E
2549549 D401 1D
2563469 D40E ED
2563473 D40F 15
2563477 D414 71
2565966 D400 45
2579890 D40E A2
2579894 D40F 0E
2582387 D400 7C
2596311 D412 40
2598808 D400 93
2612684 D40B 10
2615228 D404 40
2626464 D400 DA
